"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 20 13:18:31 IST 2023","Mon Mar 20 13:19:03 IST 2023","32023","","creating customer","","creating customer","Creation of Customer-EPIC02","Creation of Customer-EPIC02",""
"passed","Mon Mar 20 13:19:05 IST 2023","Mon Mar 20 13:19:37 IST 2023","31956","","creating customer","","creating customer","Creation of Customer-EPIC06","Creation of Customer-EPIC06",""
"passed","Mon Mar 20 13:21:45 IST 2023","Mon Mar 20 13:22:15 IST 2023","30677","","Creating Supplier - EPIC02","","Creating Supplier - EPIC02","Creating Supplier","Creating Supplier",""
"passed","Mon Mar 20 13:21:18 IST 2023","Mon Mar 20 13:21:41 IST 2023","22743","","Deleting customer - EPIC06","","Deleting customer - EPIC06","Deletion of Customer","Deletion of Customer",""
"passed","Mon Mar 20 13:22:18 IST 2023","Mon Mar 20 13:22:48 IST 2023","29580","","Creating Supplier - EPIC06","","Creating Supplier - EPIC06","Creating Supplier","Creating Supplier",""
"passed","Mon Mar 20 13:23:50 IST 2023","Mon Mar 20 13:24:21 IST 2023","31772","","Deleting Created Supplier - EPIC02","","Deleting Created Supplier - EPIC02","Deleting Created Supplier-EPIC02","Deleting Created Supplier-EPIC02",""
"passed","Mon Mar 20 13:24:24 IST 2023","Mon Mar 20 13:24:56 IST 2023","32338","","Deleting Created Supplier - EPIC06","","Deleting Created Supplier - EPIC06","Deleting Created Supplier","Deleting Created Supplier",""
"passed","Mon Mar 20 13:20:17 IST 2023","Mon Mar 20 13:20:50 IST 2023","33626","","Updating customer - EPIC06","","Updating customer - EPIC06","Updation of Customer","Updation of Customer",""
"passed","Mon Mar 20 13:19:41 IST 2023","Mon Mar 20 13:20:13 IST 2023","32821","","Updating customer-EPIC02","","Updating customer-EPIC02","Updation of Customer Created","Updation of Customer Created",""
"passed","Mon Mar 20 13:20:53 IST 2023","Mon Mar 20 13:21:16 IST 2023","22501","","Deleting customer- EPIC02","","Deleting customer- EPIC02","Deletion of Created Customer","Deletion of Created Customer",""
"passed","Mon Mar 20 13:23:21 IST 2023","Mon Mar 20 13:23:47 IST 2023","25756","","Updating Supplier - EPIC06","","Updating Supplier - EPIC06","Updating Supplier","Updating Supplier",""
"passed","Mon Mar 20 13:22:51 IST 2023","Mon Mar 20 13:23:18 IST 2023","27791","","Updating Supplier-EPIC02","","Updating Supplier-EPIC02","Updating Supplier","Updating Supplier",""
